date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:19	329/329	---M--	200	added ('OK')	image/gif	etag:%224026ef3c-149-444b95023bac0%22	http://the-gammons.net/assets/images/autogen/Links_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Links_Np1.gif	(from http://the-gammons.net/)
17:19:19	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:19%20GMT	http://the-gammons.net/Links_NRp2.gif	websites/the-gammons.net/the-gammons.net/Links_NRp2.gif	(from http://the-gammons.net/)
17:19:19	957/957	---M--	200	added ('OK')	image/gif	etag:%2238266af4-3bd-444b94587aa40%22	http://the-gammons.net/assets/images/BuiltWithNOF.gif	websites/the-gammons.net/the-gammons.net/assets/images/BuiltWithNOF.gif	(from http://the-gammons.net/)
17:19:19	2791/2791	---M--	200	added ('OK')	image/gif	etag:%224026f148-ae7-444b95032fd00%22	http://the-gammons.net/assets/images/autogen/Ross_Gammon_s_Family_History_WNbanner.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Ross_Gammon_s_Family_History_WNbanner.gif	(from http://the-gammons.net/)
17:19:20	6426/6426	---M--	200	added ('OK')	image/jpeg	etag:%224026ef05-191a-444b951fcc080%22	http://the-gammons.net/assets/images/autogen/a_059_59.jpg	websites/the-gammons.net/the-gammons.net/assets/images/autogen/a_059_59.jpg	(from http://the-gammons.net/)
17:19:20	1724/1724	---M--	200	added ('OK')	image/gif	etag:%2238266af2-6bc-444b9456925c0%22	http://the-gammons.net/assets/images/background.gif	websites/the-gammons.net/the-gammons.net/assets/images/background.gif	(from http://the-gammons.net/style.css)
17:19:20	399/399	---M--	200	added ('OK')	text/css	etag:%22482fa404-18f-444b944197440%22	http://the-gammons.net/html/style.css	websites/the-gammons.net/the-gammons.net/html/style.css	(from http://the-gammons.net/html/gammon.html)
17:19:20	60/60	---M--	200	added ('OK')	text/css	etag:%22482fa403-3c-444b943dc6b40%22	http://the-gammons.net/html/site.css	websites/the-gammons.net/the-gammons.net/html/site.css	(from http://the-gammons.net/html/gammon.html)
17:19:21	328/328	---M--	200	added ('OK')	image/gif	etag:%224026ef2d-148-444b951cef9c0%22	http://the-gammons.net/assets/images/autogen/Home_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Home_Np1.gif	(from http://the-gammons.net/html/gammon.html)
17:19:21	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:21%20GMT	http://the-gammons.net/html/Home_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Home_NRp2.gif	(from http://the-gammons.net/html/gammon.html)
